"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",494956,"CELA2A",6400.70464037899,-4998.284647527,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494957,"RPL24",6401.54672818436,-4998.284647527,3.2,"Acinar.1",-0.11574676202496,1,"intraC"
"c_1_51_238",494958,"RPL24",6401.54672818436,-4998.284647527,2.4,"Acinar.1",-0.11574676202496,1,"intraC"
"c_1_51_238",494959,"CPA1",6401.90721424374,-4998.284647527,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494960,"PRSS1",6402.26817713654,-4998.284647527,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494961,"CPAMD8",6402.50897800954,-4998.284647527,4,"Acinar.1",-0.0227283108335081,1,"intraC"
"c_1_51_238",494962,"CPAMD8",6402.62914002933,-4998.284647527,3.2,"Acinar.1",-0.0227283108335081,1,"intraC"
"c_1_51_238",494963,"YBX3",6402.99010292213,-4998.284647527,4,"Acinar.1",-0.43056862497393,1,"intraC"
"c_1_51_238",494964,"CELA3B",6403.35058898151,-4998.284647527,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494965,"CELA3B",6399.02094160163,-4998.16400867378,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494966,"CELA3B",6399.02094160163,-4998.16400867378,1.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494967,"DCC",6399.26126564122,-4998.16400867378,2.4,"Acinar.1",-1.97892783236393,1,"intraC"
"c_1_51_238",494968,"CELA3A",6400.34367748619,-4998.16400867378,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494969,"ZNF69",6400.46431633939,-4998.16400867378,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494970,"STXBP4",6400.94496441856,-4998.16400867378,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494971,"ACSM6",6401.18576529157,-4998.16400867378,4,"Acinar.1",-0.406067076053668,1,"intraC"
"c_1_51_238",494972,"PNLIP",6401.66689020415,-4998.16400867378,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494973,"PRSS1",6402.02785309695,-4998.16400867378,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494974,"SPINK1",6402.86946406892,-4998.16400867378,5.6,"Acinar.1",-0.0059743872601894,1,"intraC"
"c_1_51_238",494975,"DCC",6399.26126564122,-4998.04384665399,3.2,"Acinar.1",-1.97892783236393,1,"intraC"
"c_1_51_238",494976,"MRPS16",6400.94496441856,-4998.04384665399,4.8,"Acinar.1",-2.0622489244437,1,"intraC"
"c_1_51_238",494977,"MRPS16",6400.94496441856,-4998.04384665399,5.6,"Acinar.1",-2.0622489244437,1,"intraC"
"c_1_51_238",494978,"HOXB4",6400.94496441856,-4998.04384665399,4,"Acinar.1",-1.92981700874516,1,"intraC"
"c_1_51_238",494979,"PNLIP",6401.66689020415,-4998.04384665399,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",494980,"REG1B",6402.14801511675,-4998.04384665399,4,"Acinar.1",-0.937428673941866,1,"intraC"
"c_1_51_238",494981,"OTUD3",6399.02094160163,-4997.9236846342,5.6,"Acinar.1",-1.54676439043132,1,"intraC"
"c_1_51_238",494982,"ZNF765",6399.14110362142,-4997.9236846342,2.4,"Acinar.1",-1.10025315786569,1,"intraC"
"c_1_51_238",494983,"EEF1A1",6399.26126564122,-4997.9236846342,5.6,"Acinar.1",-0.137840377672117,1,"intraC"
"c_1_51_238",494984,"PRSS1",6399.8625525736,-4997.9236846342,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",494985,"UNC45B",6399.8625525736,-4997.9236846342,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494986,"PRSS1",6399.8625525736,-4997.9236846342,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494987,"STXBP4",6399.8625525736,-4997.9236846342,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494988,"TMPRSS11D",6400.1033534466,-4997.9236846342,0.8,"Acinar.1",-0.691006551974162,1,"intraC"
"c_1_51_238",494989,"TMPRSS11D",6400.1033534466,-4997.9236846342,1.6,"Acinar.1",-0.691006551974162,1,"intraC"
"c_1_51_238",494990,"EEF1A1",6400.34367748619,-4997.9236846342,5.6,"Acinar.1",-0.137840377672117,1,"intraC"
"c_1_51_238",494991,"SPMIP5",6400.58447835918,-4997.9236846342,4,"Acinar.1",-0.918245865278264,1,"intraC"
"c_1_51_238",494992,"ZNF69",6400.70464037899,-4997.9236846342,1.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494993,"CELA3B",6401.54672818436,-4997.9236846342,2.4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494994,"TRARG1",6401.78705222395,-4997.9236846342,4,"Acinar.1",-0.860984002348625,1,"intraC"
"c_1_51_238",494995,"REG3A",6402.74930204912,-4997.9236846342,3.2,"Acinar.1",-2.16965446621814,1,"intraC"
"c_1_51_238",494996,"MT1X",6399.50206651421,-4997.8035226144,4.8,"Acinar.1",-0.663821321016899,1,"intraC"
