Feature	Comparison	Estimate	P	FDR	sig_level
PTEN	No vs Yes	0.152713289823615	0.632349574408759	0.995681809340043	NS or Estimate < 0.25
Ret	No vs Yes	0.040836761205426	0.849406703565389	0.995681809340043	NS or Estimate < 0.25
Rb	No vs Yes	0.0962062595168836	0.656100724397871	0.995681809340043	NS or Estimate < 0.25
NRF1	No vs Yes	0.449502908305399	0.587402925566682	0.995681809340043	NS or Estimate < 0.25
Syndecan-1	No vs Yes	1.52517666795677	0.101784680169234	0.995681809340043	NS or Estimate < 0.25
CD20	No vs Yes	0.267529698310937	0.860910008535286	0.995681809340043	NS or Estimate < 0.25
p53 (phospho S46)	No vs Yes	0.213866278206576	0.479767643842551	0.995681809340043	NS or Estimate < 0.25
Rho	No vs Yes	-0.168401761497747	0.644807318496857	0.995681809340043	NS or Estimate < 0.25
MMP3	No vs Yes	0.270495023141034	0.373407834527891	0.995681809340043	NS or Estimate < 0.25
SOD2/MnSOD (acetyl K68)	No vs Yes	0.204846046142154	0.715341066950759	0.995681809340043	NS or Estimate < 0.25
Musashi 1 / Msi1	No vs Yes	0.117042449212788	0.41601694609068	0.995681809340043	NS or Estimate < 0.25
Myeloperoxidase	No vs Yes	0.25836781081362	0.180581776531897	0.995681809340043	NS or Estimate < 0.25
Transferrin Receptor	No vs Yes	0.234605133847228	0.483087069308568	0.995681809340043	NS or Estimate < 0.25
Podoplanin / gp36	No vs Yes	0.130402322479926	0.77378769881219	0.995681809340043	NS or Estimate < 0.25
iNOS	No vs Yes	0.696267905458094	0.106769891706196	0.995681809340043	NS or Estimate < 0.25
Rb (phospho S807)	No vs Yes	0.330674812774432	0.282617764676741	0.995681809340043	NS or Estimate < 0.25
TRAF6	No vs Yes	0.254518646919952	0.32165910255208	0.995681809340043	NS or Estimate < 0.25
Src	No vs Yes	0.237641363653765	0.493847505121263	0.995681809340043	NS or Estimate < 0.25
Periostin	No vs Yes	-0.143308355798662	0.896408317819206	0.995681809340043	NS or Estimate < 0.25
VEGFD	No vs Yes	0.106181912248979	0.656844781889448	0.995681809340043	NS or Estimate < 0.25
VISTA	No vs Yes	0.17189362958469	0.768356864177941	0.995681809340043	NS or Estimate < 0.25
SDHA	No vs Yes	0.314146319190936	0.334937424364112	0.995681809340043	NS or Estimate < 0.25
PP2A alpha + beta	No vs Yes	-0.0236772890551707	0.960858233827632	0.995681809340043	NS or Estimate < 0.25
STAT1 (phospho S727)	No vs Yes	0.327621779191558	0.727273937435081	0.995681809340043	NS or Estimate < 0.25
Rb (phospho T373)	No vs Yes	0.0376197296818069	0.904254990620119	0.995681809340043	NS or Estimate < 0.25
BRG1	No vs Yes	0.0676456288441909	0.843230171473537	0.995681809340043	NS or Estimate < 0.25
COX2 / Cyclooxygenase 2	No vs Yes	0.0778701413517521	0.602262460853835	0.995681809340043	NS or Estimate < 0.25
PKC beta 1	No vs Yes	0.067400474400827	0.822169790880154	0.995681809340043	NS or Estimate < 0.25
SMAD5	No vs Yes	0.271144379309528	0.44847248876248	0.995681809340043	NS or Estimate < 0.25
SFRP4	No vs Yes	0.0924082363735345	0.920537888278673	0.995681809340043	NS or Estimate < 0.25
ZAP70	No vs Yes	0.243270150974791	0.714137165269715	0.995681809340043	NS or Estimate < 0.25
Smad4	No vs Yes	0.140837760008021	0.605631978251082	0.995681809340043	NS or Estimate < 0.25
ROCK2 + ROCK1	No vs Yes	0.0632673543525986	0.861607276500322	0.995681809340043	NS or Estimate < 0.25
active YAP1	No vs Yes	-0.132916647335156	0.844118757124912	0.995681809340043	NS or Estimate < 0.25
