clusters_unsup_harmony,cell_ID
2,c_1_205_1572
6,c_1_205_1577
1,c_1_205_1579
0,c_1_205_1580
3,c_1_205_1581
2,c_1_205_1584
0,c_1_205_1588
2,c_1_205_1589
0,c_1_205_1590
10,c_1_205_1591
2,c_1_205_1592
1,c_1_205_1593
2,c_1_205_1594
2,c_1_205_1595
9,c_1_205_1596
0,c_1_205_1597
10,c_1_205_1598
0,c_1_205_1600
0,c_1_205_1601
8,c_1_205_1604
8,c_1_205_1605
0,c_1_205_1607
2,c_1_205_1608
0,c_1_205_1610
10,c_1_205_1611
3,c_1_205_1612
0,c_1_205_1613
3,c_1_205_1614
2,c_1_205_1615
0,c_1_205_1616
10,c_1_205_1617
0,c_1_205_1619
3,c_1_205_1620
9,c_1_205_1621
2,c_1_205_1623
2,c_1_205_1624
5,c_1_205_1625
11,c_1_205_1626
0,c_1_205_1627
17,c_1_205_1628
0,c_1_205_1629
3,c_1_205_1630
6,c_1_205_1633
3,c_1_205_1635
2,c_1_205_1636
5,c_1_205_1638
3,c_1_205_1643
10,c_1_205_1644
2,c_1_205_1645
0,c_1_205_1647
0,c_1_205_1648
10,c_1_205_1649
0,c_1_205_1650
9,c_1_205_1651
3,c_1_205_1652
0,c_1_205_1654
0,c_1_205_1655
2,c_1_205_1656
2,c_1_205_1657
10,c_1_205_1659
0,c_1_205_1660
10,c_1_205_1661
9,c_1_205_1662
0,c_1_205_1663
0,c_1_205_1664
2,c_1_205_1665
0,c_1_205_1666
2,c_1_205_1668
2,c_1_205_1669
10,c_1_205_1671
2,c_1_205_1672
0,c_1_205_1675
2,c_1_205_1676
11,c_1_205_1677
0,c_1_205_1678
2,c_1_205_1679
10,c_1_205_1680
3,c_1_205_1681
0,c_1_205_1682
10,c_1_205_1683
17,c_1_205_1684
2,c_1_205_1687
5,c_1_205_1688
2,c_1_205_1689
10,c_1_205_1690
3,c_1_205_1691
2,c_1_205_1695
10,c_1_205_1696
2,c_1_205_1698
5,c_1_205_1699
0,c_1_205_1700
1,c_1_205_1701
6,c_1_205_1702
2,c_1_205_1703
2,c_1_205_1705
0,c_1_205_1707
10,c_1_205_1708
5,c_1_205_1709
2,c_1_205_1710
10,c_1_205_1712
11,c_1_205_1716
2,c_1_205_1717
0,c_1_205_1719
0,c_1_205_1721
0,c_1_205_1722
0,c_1_205_1725
2,c_1_205_1726
5,c_1_205_1728
5,c_1_205_1729
17,c_1_205_1730
10,c_1_205_1731
0,c_1_205_1733
2,c_1_205_1734
2,c_1_205_1735
2,c_1_205_1736
0,c_1_205_1737
3,c_1_205_1739
2,c_1_205_1740
2,c_1_205_1741
8,c_1_205_1743
2,c_1_205_1744
5,c_1_205_1746
3,c_1_205_1747
3,c_1_205_1748
2,c_1_205_1749
2,c_1_205_1750
5,c_1_205_1752
2,c_1_205_1753
6,c_1_205_1754
1,c_1_205_1755
2,c_1_205_1757
0,c_1_205_1758
10,c_1_205_1759
8,c_1_205_1760
10,c_1_205_1763
2,c_1_205_1765
10,c_1_205_1766
6,c_1_205_1767
2,c_1_205_1768
10,c_1_205_1770
3,c_1_205_1771
9,c_1_205_1772
17,c_1_205_1773
2,c_1_205_1774
6,c_1_205_1776
2,c_1_205_1777
10,c_1_205_1778
9,c_1_205_1779
6,c_1_205_1780
3,c_1_205_1781
5,c_1_205_1782
5,c_1_205_1783
0,c_1_205_1786
2,c_1_205_1787
5,c_1_205_1788
10,c_1_205_1789
10,c_1_205_1790
5,c_1_205_1792
5,c_1_205_1793
2,c_1_205_1795
