cell_ID,best_class_tmajor,best_score_tmajor,cd8t,cd4t,celltype_thresh,celltype_granular,best_score_granular,best_score_thresh,best_class_t4minor,best_score_t4minor,cd4_naive,cd4_tem,cd4_tcm,cd4_th1,cd4_th2,cd4_th17,cd4_treg,best_class_t8minor,best_score_t8minor,cd8_naive,cd8_tem,cd8_tcm,cd8_cytotoxic,cd8_exhausted
c_1_14_457,cd4t,0.997777913222625,0.00222208677737483,0.997777913222625,cd4_treg,cd4_treg,0.821684234244549,0.821684234244549,cd4_treg,0.821684234244549,7.21314592782719e-05,4.45552569661064e-06,2.31223973121029e-05,1.69895720218235e-06,0.158996865484432,0.016995405154155,0.821684234244549,cd8_exhausted,0.00221432830881715,8.34236400765564e-07,4.34582331706821e-09,4.2809667613508e-08,6.87707666598302e-06,0.00221432830881715
c_1_14_486,cd4t,0.995652013926559,0.00434798607344056,0.995652013926559,cd4t,cd4_naive,0.436119605229644,0.995652013926559,cd4_naive,0.436119605229644,0.436119605229644,0.0239159863378257,0.366403577574669,4.40742540615249e-20,0.00187841509685919,0.000344332547950994,0.16699009713961,cd8_naive,0.00338374958655743,0.00338374958655743,0.000180835846070223,0.000779089716229835,1.15781854748396e-06,3.15310603558557e-06
c_1_14_894,cd4t,0.996121177352698,0.00387882264730201,0.996121177352698,cd4_naive,cd4_naive,0.970412416922589,0.970412416922589,cd4_naive,0.970412416922589,0.970412416922589,0.00585938310724253,0.0185306958573083,2.01613821838844e-07,4.46438760166069e-05,7.0792764092858e-10,0.00127383526779189,cd8_naive,0.00387882236063744,0.00387882236063744,9.43931580641058e-12,2.77225246713848e-10,2.8852620938681e-53,4.56617623154341e-26
c_1_14_968,cd8t,0.972195655273002,0.972195655273002,0.0278043447269979,cd8t,cd8_exhausted,0.524408467911304,0.972195655273002,cd4_treg,0.0231190043447573,0.000328818948602885,5.88487511189059e-07,1.37087278829343e-05,0.000313488918350015,0.00394402080412355,8.47144957699328e-05,0.0231190043447573,cd8_exhausted,0.524408467911304,2.16633528138878e-05,4.79547000122023e-05,1.39076233081094e-06,0.447716178546541,0.524408467911304
c_1_14_975,cd4t,0.990741743890669,0.0092582561093313,0.990741743890669,cd4t,cd4_th2,0.621361850200843,0.990741743890669,cd4_th2,0.621361850200843,0.00491979332143231,1.68973224554017e-06,0.000593151672807462,1.07321217173801e-13,0.621361850200843,0.00119214762737306,0.362673111335859,cd8_exhausted,0.00764729816186058,1.39178308149438e-06,2.56953564809066e-07,3.52150453806829e-10,0.00160930885867396,0.00764729816186058
c_1_15_1050,cd4t,0.778574866331427,0.221425133668574,0.778574866331427,tmajor,cd4_treg,0.4206977554066,0.778574866331427,cd4_treg,0.4206977554066,0.105858240781479,0.000291347247083026,0.0108002272800202,0.00196211252248946,0.154024042696389,0.084941140397365,0.4206977554066,cd8_cytotoxic,0.221039237220262,4.24515967880286e-06,1.81188959782585e-05,7.38082025317885e-06,0.221039237220262,0.000356151572401164
c_1_15_1052,cd8t,0.999999986800215,0.999999986800215,1.31997856122104e-08,cd8t,cd8_cytotoxic,0.701291909498933,0.999999986800215,cd4_th17,6.14509907740926e-09,5.92576692723318e-10,4.73800325736812e-11,1.05079134547905e-10,4.23104532638007e-11,1.68132666875431e-09,6.14509907740926e-09,4.58601355293814e-09,cd8_cytotoxic,0.701291909498933,1.01847856914796e-06,0.000229792277598046,1.42523263533077e-09,0.701291909498933,0.298477265119882
c_1_15_1077,cd8t,0.999997473336792,0.999997473336792,2.52666320802727e-06,cd8t,cd8_cytotoxic,0.762817100142835,0.999997473336792,cd4_th2,1.09008702064064e-06,2.30571772308869e-08,3.56591127785284e-07,1.96388073015556e-08,5.94880944586635e-07,1.09008702064064e-06,3.94522555941812e-07,4.788557454046e-08,cd8_cytotoxic,0.762817100142835,3.96498926702622e-05,0.206297543092225,5.48992139073898e-08,0.762817100142835,0.0308431253098482
c_1_15_1112,cd4t,0.984763674945179,0.0152363250548215,0.984763674945179,cd4_th1,cd4_th1,0.826655062218479,0.826655062218479,cd4_th1,0.826655062218479,0.0063960487912842,0.114963132779585,0.00615407591243747,0.826655062218479,0.0247600699471795,3.16160735237223e-05,0.00580366922268997,cd8_exhausted,0.00786951470607844,4.64886840943641e-05,0.00723348114588529,2.67924716462244e-06,8.41612715987811e-05,0.00786951470607844
c_1_15_1170,cd8t,0.999937823547074,0.999937823547074,6.21764529254874e-05,cd8t,cd8_cytotoxic,0.520008570616507,0.999937823547074,cd4_treg,4.23392327915346e-05,3.4027549967924e-06,5.20017959399387e-08,1.74303578779889e-08,4.75402768290726e-07,6.70140758048595e-06,9.18822263456588e-06,4.23392327915346e-05,cd8_cytotoxic,0.520008570616507,7.06723708880712e-06,8.90099240273484e-06,5.15480575135053e-07,0.520008570616507,0.479912769220501
